# t,x,y,z,qx,qy,qz,qw
1772335301.834009,9.758861,-0.144853,3.662995,0.994741,0.005519,0.102261,0.001635
1772335301.873009,10.013000,-0.147304,3.696086,0.994832,0.005423,0.101377,0.001671
1772335301.912010,10.269619,-0.149717,3.728701,0.994913,0.005326,0.100587,0.001712
1772335301.942011,10.468697,-0.151546,3.753521,0.994970,0.005250,0.100019,0.001746
1772335301.972012,10.669212,-0.153351,3.778086,0.995038,0.005174,0.099347,0.001780
1772335302.002012,10.871147,-0.155131,3.802392,0.995095,0.005097,0.098780,0.001822
1772335302.032013,11.074485,-0.156885,3.826418,0.995160,0.005020,0.098119,0.001863
1772335302.062013,11.279211,-0.158612,3.850183,0.995222,0.004941,0.097497,0.001910
1772335302.092014,11.485308,-0.160312,3.873675,0.995288,0.004861,0.096823,0.001960
1772335302.122015,11.692761,-0.161983,3.896903,0.995348,0.004780,0.096202,0.002014
1772335302.152015,11.901551,-0.163624,3.919857,0.995414,0.004697,0.095524,0.002074
1772335302.182016,12.111663,-0.165234,3.942550,0.995472,0.004613,0.094924,0.002140
1772335302.212017,12.323083,-0.166811,3.964978,0.995535,0.004528,0.094260,0.002210
1772335302.242017,12.535799,-0.168355,3.987167,0.995592,0.004440,0.093654,0.002286
1772335302.272018,12.749793,-0.169863,4.009110,0.995653,0.004351,0.093007,0.002369
1772335302.302019,12.965053,-0.171335,4.030824,0.995707,0.004259,0.092433,0.002456
1772335302.332019,13.181561,-0.172768,4.052308,0.995764,0.004165,0.091814,0.002553
1772335302.362020,13.399308,-0.174160,4.073584,0.995813,0.004069,0.091288,0.002656
1772335302.392020,13.618286,-0.175510,4.094663,0.995875,0.003971,0.090611,0.002750
1772335302.422021,13.838479,-0.176815,4.115568,0.995923,0.003870,0.090082,0.002868
1772335302.452022,14.059866,-0.178074,4.136265,0.995965,0.003766,0.089609,0.002987
1772335302.482022,14.282443,-0.179284,4.156801,0.996003,0.003659,0.089193,0.003116
1772335302.512023,14.506201,-0.180442,4.177196,0.996048,0.003550,0.088691,0.003241
1772335302.542024,14.731133,-0.181547,4.197477,0.996081,0.003438,0.088309,0.003377
1772335302.572024,14.957227,-0.182595,4.217640,0.996120,0.003323,0.087868,0.003509
1772335302.602025,15.184474,-0.183584,4.237712,0.996152,0.003206,0.087508,0.003643
1772335302.632026,15.412864,-0.184512,4.257694,0.996186,0.003086,0.087121,0.003778
1772335302.662026,15.642391,-0.185376,4.277615,0.996209,0.002963,0.086850,0.003912
1772335302.692027,15.873043,-0.186173,4.297463,0.996242,0.002839,0.086471,0.004041
1772335302.722028,16.104813,-0.186900,4.317263,0.996264,0.002712,0.086221,0.004167
1772335302.752028,16.337691,-0.187556,4.337008,0.996291,0.002583,0.085907,0.004285
1772335302.782029,16.571673,-0.188139,4.356721,0.996311,0.002453,0.085673,0.004395
1772335302.812029,16.806750,-0.188645,4.376401,0.996334,0.002321,0.085400,0.004496
1772335302.842030,17.042912,-0.189073,4.396061,0.996350,0.002189,0.085206,0.004586
1772335302.872031,17.280154,-0.189422,4.415696,0.996371,0.002056,0.084962,0.004665
1772335302.902031,17.518467,-0.189689,4.435321,0.996384,0.001922,0.084815,0.004731
1772335302.932032,17.757847,-0.189874,4.454932,0.996402,0.001789,0.084599,0.004780
1772335302.962033,17.998286,-0.189975,4.474543,0.996414,0.001656,0.084453,0.004816
1772335302.992033,18.239773,-0.189992,4.494143,0.996439,0.001523,0.084167,0.004836
1772335303.022034,18.482304,-0.189923,4.513737,0.996451,0.001393,0.084023,0.004838
1772335303.052035,18.725867,-0.189770,4.533295,0.996463,0.001263,0.083886,0.004823
1772335303.082035,18.970457,-0.189532,4.552837,0.996471,0.001136,0.083789,0.004792
1772335303.112036,19.216072,-0.189210,4.572379,0.996485,0.001010,0.083628,0.004742
1772335303.139036,19.437994,-0.188848,4.589972,0.996494,0.000900,0.083531,0.004685
1772335303.169037,19.685543,-0.188367,4.609562,0.996493,0.000780,0.083544,0.004605
1772335303.199038,19.934109,-0.187804,4.629214,0.996495,0.000663,0.083529,0.004509
1772335303.229038,20.183697,-0.187160,4.648954,0.996493,0.000550,0.083557,0.004399
1772335303.259039,20.434288,-0.186438,4.668725,0.996502,0.000440,0.083453,0.004273
1772335303.289040,20.685883,-0.185640,4.688548,0.996505,0.000333,0.083432,0.004139
